imaginaryid,poetname,poetId,cityname,cityId,relationship,destination,destination_id,speaker,speakerid,notes,source_poem,source_citation,original_source,source_greektext,source_translation,source_translator,source_notes,source_explicit
73,Alcman,93,Cyprus,106,,,,,,,Alcm. fr. 55,,,Κύπρον ἱμερτὰν λιποῖσα καὶ Πάφον περιρρύταν.,"leaving lovely Cyprus and Paphos, wave-washed on all sides.",Campbell,,TRUE
95,Alcman,93,Paphos,119,,,,,,,Alcm. fr. 55,,,Κύπρον ἱμερτὰν λιποῖσα καὶ Πάφον περιρρύταν.,"leaving lovely Cyprus and Paphos, wave-washed on all sides.",Campbell,,TRUE
71,Alcman,93,Cyprus,106,,,,,,,Alcm. fr. 59(a),1,,Ἔρως με δηὖτε Κύπριδος ϝέκατι / γλυκὺς κατείβων καρδίαν ἰαίνει.,"At the command of the Cyprian, Eros once again pours sweetly down and warms my heart.",Campbell,,TRUE
70,Alcman,93,Cyprus,106,,,,,,,Alcm. fr. 6.11,5,,Κ]υπριδ[,Cyprian,Campbell,,TRUE
60,Alcman,93,Amyclae,155,,,,,,,Alcm. fr. 6.21(b),9,,τ]ὰς Ἀμύκλας κα[,Amyclae,Campbell,,TRUE
99,Alcman,93,Rhipae,,,,,,,mythical mountains in far north,Alcm. fr. 90,,,"Ῥίπας, ὄρος ἀνθέον ὕλᾳ, νυκτὸς μελαίνας στέρνον.","Rhipae, mountain blossoming with forest, breast of black night.",Campbell,,TRUE
82,Alcman,93,Five Crests,170,,,,,,,Alcm. fr. 92(c),,,"Πέντε Λόφων,","Five Crests,",Campbell,Ath. says a place just under a mile from Sparta,TRUE
65,Alcman,93,Carystus,161,,,,,,,Alcm. fr. 92(d),,,† οἶνον δ᾿ Οἰνουντιάδα ἢ Δένθιν ἢ Καρύστιον ἢ Ὄνογλιν ἢ Σταθμίταν†,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.,Campbell,,TRUE
74,Alcman,93,Denthiades,165,,,,,,,Alcm. fr. 92(d),,,† οἶνον δ᾿ Οἰνουντιάδα ἢ Δένθιν ἢ Καρύστιον ἢ Ὄνογλιν ἢ Σταθμίταν†,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.,Campbell,,TRUE
92,Alcman,93,Oenus,174,,,,,,river,Alcm. fr. 92(d),,,† οἶνον δ᾿ Οἰνουντιάδα ἢ Δένθιν ἢ Καρύστιον ἢ Ὄνογλιν ἢ Σταθμίταν†,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.,Campbell,,TRUE
94,Alcman,93,Onogloi,175,,,,,,,Alcm. fr. 92(d),,,† οἶνον δ᾿ Οἰνουντιάδα ἢ Δένθιν ἢ Καρύστιον ἢ Ὄνογλιν ἢ Σταθμίταν†,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.,Campbell,,TRUE
105,Alcman,93,Stathmi,178,,,,,,,Alcm. fr. 92(d),,,† οἶνον δ᾿ Οἰνουντιάδα ἢ Δένθιν ἢ Καρύστιον ἢ Ὄνογλιν ἢ Σταθμίταν†,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.,Campbell,,TRUE
341,Sappho,132,Ionia,93,,,,,,polis,Sapph. 98(a),12,,...αονίας πόλις,(Ionian?) cities,Campbell,,TRUE
69,Alcman,93,Cydonia,142,,,,,,,Alcm. fr. 99,,,Κυδωνίων δὲ μήλων μνημονεύει Στησίχορος (fr. 187 P. M. G.) . . . καὶ Ἀλκμάν.,Cydonian apples are mentioned by Stesichorus . . . and by Alcman.,Campbell,,TRUE
113,Anacreon,94,Abdera,65,,,,,,,"Anac. epig. 100D",1,,Ἀβδήρων προθανόντα τὸν αἰνοβίην Ἀγάθωνα / πᾶσ᾿ ἐπὶ πυρκαϊῆς ἥδ᾿ ἐβόησε πόλις·,The mighty Agathon who died for Abdera was mourned at the pyre by this whole city;,Campbell,,TRUE
116,Anacreon,94,Corinth,48,,,,,,,"Anac. epig. 104D",1,,"οὗτος Φειδόλα ἵππος ἀπ᾿ εὐρυχόροιο Κορίνθου / ἄγκειται Κρονίδᾳ, μνᾶμα ποδῶν ἀρετᾶς.",This horse of Pheidolas from spacious Corinth is dedicated to the son of Cronus to commemorate the excellence of his feet,Campbell,,TRUE
118,Anacreon,94,Athens,,,,,,,"It seems that Euonymeia is the ancient name for, wait for it,... Ano Kalamaki! Check it: https://en.wikipedia.org/wiki/Euonymeia",Anac. epig. 105D,3,,δὸς δέ μιν εὐθυδίκων Εὐωνυμέων ἐνὶ δήμῳ ναίειν αἰῶνος μοῖραν ἔχοντ᾿ ἀγαθήν.,and grant that he dwell among the fair-judging people of Euonymon enjoying good fortune all his days.,Campbell,,FALSE
137,Anacreon,94,Thessaly,34,,,,,,,Anac. epig. 107D,2,,"σάν τε χάριν, Διόνυσε, καὶ ἀγλαὸν ἄστεϊ κόσμον / Θεσσαλίας μ᾿ ἀνέθηκ᾿ ἀρχὸς Ἐχεκρατίδας.","In gratitude to you, Dionysus, and as a splendid adornment to the city I was set up by Echecratidas, lord of Thessaly.",Campbell,,TRUE
117,Anacreon,94,Cyprus,106,,,,,,,"Anac. fr. 346.1",8,,Κύπρις,Cyprian Aphrodite,Campbell,,TRUE
129,Anacreon,94,Pieria,122,,,,,,,"Anac. fr. 346.3",9,,Πιερίδων,the Pierian Muses,Campbell,,TRUE
140,Anacreon,94,Thrace,129,,,,,,,Anac. fr. 347,10,,τί γάρ τις ἔρξηι μηδ᾿ ὑπὲρ Θρήικης τυχών;,for what is one to do if he has not succeeded even for the sake of Thrace,Campbell,,TRUE
121,Anacreon,94,Lethaeus,193,,,,,,,Anac. fr. 348,4,,"ἥ κου νῦν ἐπὶ Ληθαίου / δίνῃσι θρασυκαρδίων / ἀνδρῶν ἐσκατορᾷς πόλιν / χαίρουσ᾿, οὐ γὰρ ἀνημέρους / ποιμαίνεις πολιήτας.","who now somewhere by the eddies of the Lethaeus look down on a city of bold-hearted men and rejoice, since the citizens whom you shepherd are not untamed.",Campbell,,TRUE
124,Anacreon,94,Magnesia ad Maeandrum,253,,,,,,,Anac. fr. 348,4,,"ἥ κου νῦν ἐπὶ Ληθαίου / δίνῃσι θρασυκαρδίων / ἀνδρῶν ἐσκατορᾷς πόλιν / χαίρουσ᾿, οὐ γὰρ ἀνημέρους / ποιμαίνεις πολιήτας.","who now somewhere by the eddies of the Lethaeus look down on a city of bold-hearted men and rejoice, since the citizens whom you shepherd are not untamed.",Campbell,,FALSE
119,Anacreon,94,Ialysus,210,,,,,,,Anac. fr. 349,1,,οὗτος δηὖτ᾿ Ἰηλυσίους τίλλει τοὺς κυανάσπιδας.,Once again this man plucks (i.e. mocks) the blue-shielded men of Ialysus.,Campbell,,TRUE
130,Anacreon,94,Samos,41,,,,,,,Anac. fr. 353,2,,"ὅθεν καὶ Ἀνακρέων τοὺς ἐν τῇ Σάμῳ ἁλιεῖς ὄντας στασιαστάς φησι· ""μυθιῆται δ᾿ ἀνὰ νῆσον ὦ Μεγιστῆ διέπουσιν ἱρὸν ἄστυ,""","and so Anacreon says of the rebellious fishermen in Samos: and in the island, Megistes, the talkers hold sway over the sacred city,",Campbell,"",FALSE
211,Corinna,104,Ladon,212,,,,,,,fr. 684,1,,Λάδοντος δονακοτρόφω,"of Ladon, nurse of reeds",Campbell,,
132,Anacreon,94,Scythia,131,,,,,,,Anac. fr. 356b,3,,"ἄγε δηὖτε μηκέτ᾿ οὕτω / πατάγῳ τε κἀλαλητῷ / Σκυθικὴν πόσιν παρ᾿ οἴνῳ / μελετῶμεν, ἀλλὰ καλοῖς / ὑποπίνοντες ἐν ὕμνοις.","Come again, let us no longer practise Scythian drinking with clatter and shouting over our wine, but drink moderately amid beautiful songs of praise.",Campbell,,TRUE
120,Anacreon,94,Lesbos,126,,,,,,,Anac. fr. 358,6,,"... ποικιλοσαμβάλῳ... ἡ δ᾿, ἐστὶν γὰρ ἀπ᾿ εὐκτίτου / Λέσβου, τὴν μὲν ἐμὴν κόμην, / λευκὴ γάρ, καταμέμφεται...",... the girl in the fancy sandals; but she—she comes from Lesbos with its fine cities—finds fault with my hair because it is white...,Campbell,,TRUE
134,Anacreon,94,Tartessus,224,,,,,,,Anac. fr. 361,4,,"ἐγὼ δ᾿ οὔτ᾿ ἂν Ἀμαλθίης βουλοίμην κέρας οὔτ᾿ ἔτεα πεντήκοντά τε κἀκατὸν Ταρτησσοῦ βασιλεῦσαι,","I would not wish for Amalthea’s horn nor to be king of Tartessus for a hundred and fifty years,",Campbell,,TRUE
122,Anacreon,94,Leucas,21,,,,,,,Anac. fr. 376,1,,ἀρθεὶς δηὖτ᾿ ἀπὸ Λευκάδος / πέτρης ἐς πολιὸν κῦμα κολυμβῶ μεθύων ἔρωτι.,"See, once again I climb up and dive from the Leucadian cliff into the grey waves, drunk with love.",Campbell,,TRUE
126,Anacreon,94,Mysia,53,,,,,,,Anac. fr. 377,1,,ἱπποθόρων δὲ Μυσοὶ / εὗρον μεῖξιν ὄνων,and the Mysians discovered the breeding of mare-mounting asses,Campbell,,TRUE
153,Archilochus,97,Thasos,40,,,,,,,102,1,Strabo 8.6.6,Πανελλήνων ὀϊζὺς ἐς Θάσον συνέδραμεν.,the misery of All-Greeks has rushed to Thasos,Gerber,,TRUE
202,Corinna,104,Cithaeron,204,,,,,,,fr. 654.i,23,,πλίονας δ᾿ εἷλε Κιθηρών·,and Cithaeron won the greater number,Campbell,,TRUE
128,Anacreon,94,Olympus,100,,,,,,,Anac. fr. 378,1,,ἀναπέτομαι δὴ πρὸς Ὄλυμπον πτερύγεσσι κούφῃς / διὰ τὸν Ἔρωτ᾿· οὐ γὰρ ἐμοὶ <—⸏ ⏑> θέλει συνηβᾶν.,"See, I fly up on light wings to Olympus in search of Love; for (the boy) does not wish to enjoy the fun of youth with me.",Campbell,,TRUE
135,Anacreon,94,Teos,42,,,,,,,Anac. fr. 391,1,,νῦν δ᾿ ἀπὸ μὲν στέφανος πόλεως ὄλωλεν.,But now the crown of the city is destroyed.,Campbell,Campbell suggests the city may be Teos,FALSE
114,Anacreon,94,Caria,139,,,,,,,Anac. fr. 401,1,,διὰ δηὖτε Καρικουργέος / ὀχάνου χεῖρα †τιθέμενοι†,Once again (I have put my?) hand through the Carian-made shield-strap.,Campbell,,TRUE
138,Anacreon,94,Thrace,129,,,,,,,Anac. fr. 417,1,,"πῶλε Θρῃκίη, τί δή με / λοξὸν ὄμμασι βλέπουσα / νηλέως φεύγεις, δοκεῖς δέ / μ᾿ οὐδὲν εἰδέναι σοφόν;","Thracian filly, why do you look at me from the corner of your eye and flee stubbornly from me, supposing that I have no skill?",Campbell,,TRUE
125,Anacreon,94,Miletus,9,,,,,,,Anac. fr. 426,1,,πάλαι ποτ᾿ ἦσαν ἄλκιμοι Μιλήσιοι.,Once long ago the Milesians were brave.,Campbell,,TRUE
127,Anacreon,94,Naucratis,215,,,,,,,Anac. fr. 434,2,,"στεφάνους δ᾿ ἀνὴρ τρεῖς ἕκαστος εἶχεν, / τοὺς μὲν ῥοδίνους, τὸν δὲ Ναυκρατίτην.","and each man had three garlands, two of roses and the other a garland of Naucratis.",Campbell,,TRUE
131,Anacreon,94,Samos,41,,,,,,,Anac. fr. 448,1,,"ἄστυ Νυμφέων' τὴν Σάμον Ἀνακρέων, ἐπεὶ ὕστερον εὔυδρος ἐγένετο.",city of the Nymphs: Anacreon’s description of Samos: it later got a fine water-supply.,Campbell,,FALSE
136,Anacreon,94,Teos,42,,,,,,,Anac. fr. 463,1,,Ἀθαμαντίδα,Athamantis,Campbell,Strabo says Anacreon calls Teos by this word,FALSE
123,Anacreon,94,Lydia,102,,,,,,,Anac. fr. 481,1,,λυδοπαθεῖς τινες,people living in Lydian style,Campbell,,TRUE
142,Anacreon,94,Abdera,65,,,,,,,Anac. fr. 505,1,,Ἄβδηρα καλὴ Τηίων ἀποικίη.,"Abdera, fair colony of the Teians.",Campbell,,TRUE
115,Anacreon,94,"Cimmeria",203,,,,,,,"Anac. fr. eleg. 3",2,,τί μοι (φησί) τῶν ἀγκυλοτόξων / † φιλοκιμέρων καὶ Σκυθέων † μέλει;,"What do I care, my friend, for the Cimmerians with their curving bows and the Sintians?",Campbell,,FALSE
133,Anacreon,94,Sintia,221,,,,,,,"Anac. fr. eleg. 3",2,,τί μοι (φησί) τῶν ἀγκυλοτόξων / † φιλοκιμέρων καὶ Σκυθέων † μέλει;,"What do I care, my friend, for the Cimmerians with their curving bows and the Sintians?",Campbell,,TRUE
170,Archilochus,97,Ismaros,232,,,,,,Thracian Ismaros,2,2-Jan,Ath. 1.30f,... ἐν δορὶ δ᾿ / οἶνος  / Ἰσμαρικός...,... on board ship Ismarian wine...,Gerber,,TRUE
167,Archilochus,97,Euboea,169,,,,,,,3,5-Apr,Plut. Theseus 5.2-3,... ταύτης γὰρ κεῖνοι δάμονές εἰσι μάχης / δεσπόται Εὐβοίης δουρικλυτοί....,This is the warfare in which those spear-famed lords of Euboea are skilled.,Gerber,,TRUE
172,Archilochus,97,Thrace,129,,,,,,The Scaians were a Thracian tribe.,5,2-Jan,Plut. instit. Lac. 34.239b,"ἀσπίδι μὲν Σαΐων τις ἀγάλλεται, ἣν παρὰ / άμνῳ...",Some Saian exults in my shield which I left...,Gerber,,FALSE
154,Archilochus,97,Magnesia ad Maeandrum,253,,,,,,,20,1,Heracl. Lemb. π. πολιτείων 50,"κλαίω τὰ Θασίων, οὐ τὰ Μαγνήτων κακά.","I bewail the woes of the Thasians, not those of the Magnesians.",Gerber,,TRUE
151,Archilochus,97,Thasos,40,,,,,,,20,1,Heracl. Lemb. π. πολιτείων 50,"κλαίω τὰ Θασίων, οὐ τὰ Μαγνήτων κακά.","I bewail the woes of the Thasians, not those of the Magnesians.",Gerber,,TRUE
173,Archilochus,97,Siris,243,,,,,,Siris off the gulf of Tarentum,22,2-Jan,Ath. 12.523d,"οὐ γάρ τι καλὸς χῶρος οὐδ᾿ ἐφίμερος οὐδ᾿ ἐρατός, οἷος ἀμφὶ Σίριος ῥοάς.","for it is not at all a fair, desirable, or lovely land, like that round about the stream of Siris.",Gerber,,TRUE
156,Archilochus,97,Gortyn,60,,,,,,Creten Gortyn,24,2,"P. Oxy. 2310 fr. 1 col. i.22–39, ed. Lobel",... ἦλθες ἐκ Γορτυνίης...,... you arrived from the region of Gortyn...,Gerber,,TRUE
159,Archilochus,97,Mt. Olympus,100,,,,,,,25,6,"P. Oxy. 2310 fr. 1 col. i.40–48, ed. Lobel",]γάρ μοι Ζεὺς πατὴρ Ὀλυμπίων...,... me Zeus father of the Olympians...,Gerber,,TRUE
162,Archilochus,97,Phrygia,128,,,,,,,42,2-Jan,Ath. 10.447b,ὥσπερ αὐλῷ βρῦτον ἢ Θρέϊξ ἀνὴρ ἢ Φρὺξ ἔμυζε· κύβδα δ᾿ ἦν πονεομένη.,"she was sucking like a Thracian or Phrygian sucking beer through a tube, and she was bent over working hard",Gerber,,TRUE
163,Archilochus,97,Thrace,129,,,,,,,42,2-Jan,Ath. 10.447b,ὥσπερ αὐλῷ βρῦτον ἢ Θρέϊξ ἀνὴρ ἢ Φρὺξ ἔμυζε· κύβδα δ᾿ ἦν πονεομένη.,"she was sucking like a Thracian or Phrygian sucking beer through a tube, and she was bent over working hard",Gerber,,TRUE
168,Archilochus,97,Priene,196,,,,,,,43,3-Jan,Ath. 10.447b,ἡ δέ οἱ σάθη ×–⏒ –× ὥστ᾿ ὄνου Πριηνέως κήλωνος ἐπλήμυρεν ὀτρυγηφάγου.,his prick . . . swelled like that of a Prienian grain–fed breeding ass,Gerber,,TRUE
157,Archilochus,97,Naxos,66,,,,,,,89,6,Mnesiepis inscriptio B (E2) col. I 15–44 (v. test. 3),Ναξίων δῦναι φ.[,... of the Naxians to get into...,Gerber,,TRUE
149,Archilochus,97,Paros,39,,,,,,,89,22,Mnesiepis inscriptio B (E2) col. I 15–44 (v. test. 3),και ἐκ Πάρου τ[,... from Paros...,Gerber,,TRUE
152,Archilochus,97,Thasos,40,,,,,,,89,19,Mnesiepis inscriptio B (E2) col. I 15–44 (v. test. 3),οἱ μὲν ἐν Θάσωι.[,... some in Thasos...,Gerber,,TRUE
174,Archilochus,97,Torone,244,,,,,,"A town on the southern end of the central peninsula of Chalcidice, southwest of Thasos.",89,20,Mnesiepis inscriptio B (E2) col. I 15–44 (v. test. 3),καὶ Τορωναίην[,... and Torone...,Gerber,,TRUE
169,Archilochus,97,Gyrae,230,,,,,,Either the promontory on Tenos or a mythological allusion to the rocks on which the Lesser Ajax met his death (Od. 4.500 ff.).,105,2,Heracl. Alleg. Hom. 5.2,... ἀμφὶ δ᾿ ἄκρα Γυρέων ὀρθὸν ἵσταται νέφος...,... a cloud stands straight round about the heights of Gyrae...,Gerber,,TRUE
155,Archilochus,97,Arcadia,54,,,,,,,112,4,P. Oxy. xxii.2314 col. i + 2313 fr. 27 (coniunxit Dervisopoulos),... ἀρκαδοσσονον...,... an Arcadian ass...,Gerber,,TRUE
150,Archilochus,97,Paros,39,,,,,,,116,1,Ath. 3.76b,ἔα Πάρον καὶ σῦκα κεῖνα καὶ θαλάσσιον βίον.,Good-bye to Paros and those figs and life on the sea,Gerber,,TRUE
161,Archilochus,97,Lesbos,126,,,,,,,121,1,Ath. 5.180d-e,αὐτὸς ἐξάρχων πρὸς αὐλὸν Λέσβιον παιήονα.,I myself taking the lead in the Lesbian paean to the pipe’s accompaniment,Gerber,,TRUE
160,Archilochus,97,Mt. Olympus,100,,,,,,,122,2,"Stob. 4.46.10 (Ἀρχιλόχου) + P. Oxy. xxii.2313 fr. 1a, ed. Lobel",... Ζεὺς πατὴρ Ὀλυμπίων...,... Zeus father of the Olympians...,Gerber,,TRUE
166,Archilochus,97,Caria,139,,,,,,,216,1,Schol. Plat. Lach. 187b,... καὶ δὴ ᾿πίκουρος ὥστε Κὰρ κεκλήσομαι...,... and what’s more I shall be called an auxiliary like a Carian...,Gerber,,TRUE
165,Archilochus,97,Asia,133,,,,,,,227,1,Schol. Hom. Od. 15.534,ὁ δ᾿ Ἀσίης καρτερὸς μηλοτρόφου,he has power over sheep-rearing Asia,Gerber,,TRUE
164,Archilochus,97,Crete,132,,,,,,,232,1,Heraclides Lembus π. πολιτειῶν 14,νόμος δὲ Κρητικὸς διδάσκεται.,the Cretan law teaches,Gerber,,TRUE
171,Archilochus,97,Karpathos,233,,,,,,,248,1,Hesych.,Καρπάθιος τὸν μάρτυρα.,a Karpathian (introduced) his witness,Gerber,,TRUE
158,Archilochus,97,Naxos,66,,,,,,,325,2-Jan,Anth. Pal. 7.441,"ὑψηλοὺς Μεγάτιμον Ἀριστοφόωντά τε Νάξου κίονας, ὦ μεγάλη γαῖ᾿, ὑπένερθεν ἔχεις.","Great earth, you hold beneath you Megatimus and Aristophon, lofty pillars of Naxos.",Gerber,,TRUE
177,Bacchylides,100,Athens,,,,,,,,Bacchyl. 17,92,,τρέσσαν δ᾿ Ἀθαναίων ἠϊθέων / <πᾶν> γένος,but the whole group of young Athenians had trembled,Campbell,,
178,Bacchylides,100,Ceos,,,,,Narrator,,,Bacchyl. 17,130,,"Δάλιε, χοροῖσι Κηΐων / φρένα ἰανθείς / ὄπαζε θεόπομπον ἐσθλῶν τύχαν.","God of Delos, rejoice in your heart at the choirs of the Ceans and grant a heaven-sent fortune of blessings.",Campbell,,
179,Bacchylides,100,Ceos,,,,,,,,Bacchyl. 17,title,,ΗΙΘΕΟΙ Η ΘΗΣΕΥΣ [ΚΗΙΟΙΣ ΕΙΣ ΔΗΛΟΝ],The Young Athenians or Theseus for the Ceans to Perform in Delos,Campbell,,TRUE
180,Bacchylides,100,Cyprus,,,,,,,,Bacchyl. 17,10,,Κύπριδος [α]ὰ δῶρα·,the dread gifts of the Cyprian goddess,Campbell,,
181,Bacchylides,100,Delos,,,,,Narrator,,,Bacchyl. 17,130,,"Δάλιε, χοροῖσι Κηΐων / φρένα ἰανθείς / ὄπαζε θεόπομπον ἐσθλῶν τύχαν.","God of Delos, rejoice in your heart at the choirs of the Ceans and grant a heaven-sent fortune of blessings.",Campbell,,
182,Bacchylides,100,Delos,,,,,,,,Bacchyl. 17,title,,ΗΙΘΕΟΙ Η ΘΗΣΕΥΣ [ΚΗΙΟΙΣ ΕΙΣ ΔΗΛΟΝ],The Young Athenians or Theseus for the Ceans to Perform in Delos,Campbell,,TRUE
183,Bacchylides,100,Ionia,,,,,,,,Bacchyl. 17,3,,κούρους Ἰαόνω[ν,maidens of the Ionians,Campbell,,TRUE
184,Bacchylides,100,Knossos,,,,,,,,Bacchyl. 17,39,,πολέμαρχε Κνωσσίων,warlord of the Cnossians,Campbell,,
185,Bacchylides,100,Knossos,,,,,,,,Bacchyl. 17,120,,οἵαισιν ἐν φροντίσι Κνώσιον / ἔσχασεν στραταγέταν,in what thoughts did he check the Cnossian commander,Campbell,,
186,Bacchylides,100,Mt. Ida,,,,,,,,Bacchyl. 17,30,,ὑπὸ κρόταφον Ἴδας,under the brow of mount Ida,Campbell,,
187,Bacchylides,100,Phoenicia,,,,,,,,Bacchyl. 17,54,,"εἴ πέρ με νύμ[φα / Φοίνισσα λευκώλενος σοὶ τέκεν,",if the white-armed Phoenician maiden indeed bore me as your son,Campbell,,
188,Bacchylides,100,Sea of Crete,,,,,,,,Bacchyl. 17,4,,Κρητικὸν τάμνε〚ν〛πέλαγος·,"was cleaving the Cretan sea,",Campbell,,
189,Bacchylides,100,Troezen,,,,,Minos,,,Bacchyl. 17,58,,εἰ / δὲ καὶ σὲ Τροιζηνία σεισίχθονι / φύτευσεν Αἴθρα Ποσει- / δᾶνι,if Troezenian Aethra in fact bore you to earth-shaking Poseidon,Campbell,,
191,Callinus,101,Smyrna,36,,,,,,,Callin. 2,1,,Σμυρναίους δ᾽ ἐλέησον,have mercy on the Smyrnaeans,Gerber,,TRUE
192,Callinus,101,Smyrna,36,,,,,,,Callin. 2a,2-Jan,,"μνῆσαι δ᾽, εἴ κοτέ τοι μηρία καλὰ βοῶν / <Σμυρναῖοι κατέκηαν>.","remember, if ever (the Smyrnaeans burned) fine thigh bones of oxen for you",Gerber,,TRUE
193,Callinus,101,Treros,,,,,,,"in Thrace, a Thracian tribe. but where?",Callin. 4,1,,Τρήερας ἄνδρας ἄγων,bringing Trerian men,Gerber,,TRUE
190,Callinus,101,Cimmeria,203,,,,,,,Callin. 5,2-Jan,,νῦν δ᾽ ἐπὶ Κιμμερίων στρατὸς ἔρχεται / ὀβριμοεργῶν,"now the horde of Cimmerians, with their acts of violence, is advancing",Gerber,,TRUE
195,Cinesias,4,Phthia,217,,,,,,,fr. 775,,,Φθιῶτα,Phthian,Campbell,,
208,Corinna,104,Helicon,16,,,,,,,fr. 654.i,30,,"ὁ δὲ λο]ύπησι κά[θ]εκτος χαλεπ]ῆσιν Ϝελι[κ]ὼν ἐσερύει] λιττάδα [π]έτραν,","but the other, Helicon, gripped by cruel anguish, tore out a smooth rock",Campbell,,TRUE
196,Corinna,104,Aegina,89,,,,,,,fr. 654.ii,33,,"ὧν Ἤγ[ιναν   γε]νέθλαν Δεὺς[         ἀ]γαθῶν πατρọ[          ἐ]ς,","Of these (daughters) Zeus, (giver?) of good things, (took) his child Aegina . . . from her father’s . . .",Campbell,,TRUE
197,Corinna,104,Boeotia,137,,,,,,,fr. 654.ii,26,,Ἀσωπ[ ] ἐν νομόν,Asopus (went) to his haunts,Campbell,,TRUE
198,Corinna,104,Boeotia,137,,,,,,,fr. 654.ii,48,,τὸν δ᾿ Ἀ[σωπὸς ἀσ]πασίως δεξιᾶς ἐ[φαψάμ]ενος δάκρού τ᾿ [ὀκτάλ]λων προβαλ[ὼν ὧδ᾿ ἀμίψ[ατο φ]ωνῆ·,"So spoke the reverend prophet, and Asopus happily grasped him by his right hand and shedding tears from his eyes answered him thus",Campbell,,
204,Corinna,104,Corcyra,164,,,,,,,fr. 654.ii,36,,"Κορκού[ραν δὲ κὴ Σαλαμῖ-] ν᾿ εἰδ[᾿ Εὔβοιαν ἐράνναν] Ποτι[δάων κλέψε πα]τείρ, Σιν[ώπαν δὲ Λατοΐδα]ς Θέσ[πιαν τ᾿ | ἔ]στιν ἔχων·","while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . .",Campbell,,TRUE
205,Corinna,104,Euboea,169,,,,,,,fr. 654.ii,37,,"Κορκού[ραν δὲ κὴ Σαλαμῖ-] ν᾿ εἰδ[᾿ Εὔβοιαν ἐράνναν] Ποτι[δάων κλέψε πα]τείρ, Σιν[ώπαν δὲ Λατοΐδα]ς Θέσ[πιαν τ᾿ | ἔ]στιν ἔχων·","while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . .",Campbell,,TRUE
220,Corinna,104,Salamis,82,,,,,,,fr. 654.ii,36,,"Κορκού[ραν δὲ κὴ Σαλαμῖ-] ν᾿ εἰδ[᾿ Εὔβοιαν ἐράνναν] Ποτι[δάων κλέψε πα]τείρ, Σιν[ώπαν δὲ Λατοΐδα]ς Θέσ[πιαν τ᾿ | ἔ]στιν ἔχων·","while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . .",Campbell,,TRUE
221,Corinna,104,Sinope,220,,,,,,,fr. 654.ii,39,,"Κορκού[ραν δὲ κὴ Σαλαμῖ-] ν᾿ εἰδ[᾿ Εὔβοιαν ἐράνναν] Ποτι[δάων κλέψε πα]τείρ, Σιν[ώπαν δὲ Λατοΐδα]ς Θέσ[πιαν τ᾿ | ἔ]στιν ἔχων·","while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . .",Campbell,,TRUE
224,Corinna,104,Thespia,76,,,,,,,fr. 654.ii,40,,"Κορκού[ραν δὲ κὴ Σαλαμῖ-] ν᾿ εἰδ[᾿ Εὔβοιαν ἐράνναν] Ποτι[δάων κλέψε πα]τείρ, Σιν[ώπαν δὲ Λατοΐδα]ς Θέσ[πιαν τ᾿ | ἔ]στιν ἔχων·","while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . .",Campbell,,TRUE
213,Corinna,104,Mt. Parnes,151,,,,,,,fr. 654.iv,22,,Πάρνεις ἀντ-,Parnes (spoke in turn),Campbell,,
214,Corinna,104,Mt. Parnes,151,,,,,,,fr. 654.iv,46,,Πάρνε[,Parnes,Campbell,,
215,Corinna,104,Mt. Parnes,151,,,,,,,fr. 654.iv,49,,Πάρνε[,Parnes,Campbell,,
218,Corinna,104,"Plataea",218,,,,,,,fr. 654.iv,42,,Πλάτη[α,"Plataea",Campbell,,
199,Corinna,104,Cephisus,202,,,,,,,fr. 655.1,12,,"πο]λλὰ μὲν Καφ[ισὸν ἱώνγ᾿ ἀρχ]αγὸν κόσμ[εισα λόγυ]ς,","often I adorned our ancestor Cephisus with my words,",Campbell,,
212,Corinna,104,Libya,214,,,,,,,fr. 655.1,17,,κὴ ]Λιβούαν κ[αλάν,(and fair) Libya,Campbell,,
222,Corinna,104,Tanagra,57,,,,,,,fr. 655.1,3,,"ἐπί με Τερψιχόρα [καλῖ καλὰ Ϝεροῖ᾿ ἀϊσομ[έναν Ταναγρίδεσσι λ[ευκοπέπλυς,",Terpsichore summons me to sing fine tales for the white-robed women of Tanagra,Campbell,,
210,Corinna,104,Hyria,209,,,,,,place in Boeotia,fr. 669,1,,καλλιχόρω χθονὸς Οὑρίας θουγάτειρ,"daughter of Hyria, land of fair dances.",Campbell,,
